time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-07-25T10:43:57.780Z,35.6806667,-117.5358333,5.83,2.66,ml,65,22,0.05899,0.14,ci,ci38641391,2021-09-01T20:31:39.840Z,"14km ENE of Ridgecrest, CA",earthquake,0.1,0.33,0.148,28,reviewed,ci,ci
2019-07-24T23:19:47.270Z,35.6418333,-117.583,8.17,2.52,ml,57,34,0.02276,0.13,ci,ci38638647,2022-08-08T15:15:35.777Z,"9km ENE of Ridgecrest, CA",earthquake,0.1,0.26,0.151,26,reviewed,ci,ci
2019-07-24T21:44:43.520Z,35.5195,-117.4101667,8.48,2.58,ml,58,32,0.03762,0.13,ci,ci38638335,2021-09-15T18:46:47.910Z,"26km NE of Johannesburg, CA",earthquake,0.11,0.21,0.134,23,reviewed,ci,ci
2019-07-24T20:45:14.320Z,35.772,-117.5803333,2.59,2.65,ml,64,36,0.01582,0.15,ci,ci38638095,2021-09-15T18:29:27.960Z,"16km W of Searles Valley, CA",earthquake,0.11,0.14,0.157,25,reviewed,ci,ci
2019-07-24T20:25:23.530Z,35.6631667,-117.5213333,9.57,2.74,ml,60,33,0.03974,0.14,ci,ci38638023,2021-09-01T19:20:31.490Z,"15km ENE of Ridgecrest, CA",earthquake,0.11,0.21,0.143,64,reviewed,ci,ci
2019-07-24T14:35:18.550Z,35.607,-117.6045,3.1,3.75,mw,82,21,0.03251,0.16,ci,ci38636511,2021-10-05T21:32:29.250Z,"7km ESE of Ridgecrest, CA",earthquake,0.09,0.16,,4,reviewed,ci,ci
2019-07-24T09:37:56.840Z,35.6621667,-117.4558333,10.47,2.73,ml,60,34,0.02431,0.15,ci,ci38635255,2022-08-08T15:14:55.952Z,"13km SSW of Searles Valley, CA",earthquake,0.13,0.2,0.161,24,reviewed,ci,ci
2019-07-24T06:39:25.820Z,35.6423333,-117.4471667,3.08,2.54,ml,55,57,0.02499,0.14,ci,ci38634599,2021-09-15T19:20:15.060Z,"14km SSW of Searles Valley, CA",earthquake,0.12,0.15,0.147,26,reviewed,ci,ci
2019-07-23T13:01:00.570Z,35.6643333,-117.4935,2.24,2.7,ml,56,35,0.02282,0.18,ci,ci38630103,2021-08-31T23:01:07.504Z,"14km SW of Searles Valley, CA",earthquake,0.13,0.21,0.17,25,reviewed,ci,ci
2019-07-23T12:08:22.510Z,35.6801667,-117.5263333,9.87,2.58,ml,58,39,0.05264,0.18,ci,ci38629871,2021-09-01T18:09:59.898Z,"15km SW of Searles Valley, CA",earthquake,0.15,0.23,0.169,21,reviewed,ci,ci
2019-07-23T07:45:02.530Z,35.625,-117.4266667,5.51,4.15,mw,101,25,0.04011,0.16,ci,ci38628799,2021-10-05T21:30:23.150Z,"16km S of Searles Valley, CA",earthquake,0.09,0.19,,6,reviewed,ci,ci
2019-07-23T01:36:18.450Z,35.7455,-117.5565,6.07,3.88,mw,73,44,0.02624,0.17,ci,ci38627095,2021-09-15T17:45:15.290Z,"14km W of Searles Valley, CA",earthquake,0.12,0.32,,6,reviewed,ci,ci
2019-07-23T01:36:17.360Z,35.7441667,-117.5568333,5.6,3.28,ml,46,47,0.02494,0.1,ci,ci37480781,2021-09-15T17:45:29.666Z,"14km W of Searles Valley, CA",earthquake,0.14,0.33,0.105,2,reviewed,ci,ci
2019-07-22T20:12:27.510Z,35.6418333,-117.4428333,3.7,2.96,ml,81,38,0.02799,0.14,ci,ci38625775,2021-08-31T22:43:06.310Z,"14km SSW of Searles Valley, CA",earthquake,0.09,0.19,0.123,54,reviewed,ci,ci
2019-07-22T16:31:06.870Z,35.5335,-117.358,9.05,2.72,ml,54,49,0.01006,0.14,ci,ci38624647,2021-08-27T22:21:12.800Z,"26km S of Trona, CA",earthquake,0.13,0.23,0.128,53,reviewed,ci,ci
2019-07-22T00:19:35.530Z,35.7395,-117.519,5.01,2.65,ml,57,51,0.0463,0.15,ci,ci38620287,2021-08-31T20:55:06.260Z,"11km WSW of Searles Valley, CA",earthquake,0.11,0.23,0.151,22,reviewed,ci,ci
2019-07-21T17:32:24.280Z,35.65,-117.5013333,5.03,2.51,ml,62,27,0.01984,0.15,ci,ci38618543,2021-08-31T21:22:24.900Z,"16km SW of Searles Valley, CA",earthquake,0.11,0.21,0.155,21,reviewed,ci,ci
2019-07-21T17:09:22.370Z,35.6973333,-117.542,10.32,3.03,ml,69,30,0.0349,0.16,ci,ci38618447,2021-08-27T21:07:18.390Z,"15km WSW of Searles Valley, CA",earthquake,0.11,0.21,0.129,41,reviewed,ci,ci
2019-07-21T15:50:55.940Z,35.6091667,-117.355,3.16,2.55,ml,60,98,0.02271,0.15,ci,ci38618095,2021-08-31T21:17:02.009Z,"17km S of Trona, CA",earthquake,0.13,0.16,0.111,23,reviewed,ci,ci
2019-07-21T11:56:11.490Z,35.6555,-117.5128333,10.19,3.14,ml,70,30,0.03038,0.15,ci,ci38616919,2021-08-27T20:58:02.720Z,"15km ENE of Ridgecrest, CA",earthquake,0.11,0.18,0.143,259,reviewed,ci,ci
2019-07-21T10:41:37.850Z,35.6071667,-117.4753333,8.43,3.19,ml,62,41,0.01602,0.13,ci,ci38616607,2021-10-07T18:18:29.730Z,"18km E of Ridgecrest, CA",earthquake,0.11,0.19,0.182,124,reviewed,ci,ci
2019-07-21T10:33:47.690Z,35.6763333,-117.5073333,5.03,2.85,ml,54,39,0.03915,0.14,ci,ci38616575,2021-10-07T18:11:03.910Z,"14km SW of Searles Valley, CA",earthquake,0.12,0.23,0.12,23,reviewed,ci,ci
2019-07-21T05:30:38.600Z,35.6445,-117.5031667,4.99,3.35,ml,65,31,0.02085,0.14,ci,ci38615255,2021-08-27T20:19:45.120Z,"16km E of Ridgecrest, CA",earthquake,0.11,0.18,0.144,295,reviewed,ci,ci
2019-07-21T02:41:17.320Z,35.6723333,-117.4651667,8.76,3.1,ml,62,44,0.02863,0.14,ci,ci38614479,2021-08-27T20:50:59.290Z,"12km SSW of Searles Valley, CA",earthquake,0.12,0.24,0.152,26,reviewed,ci,ci
2019-07-21T00:08:38.000Z,35.6733333,-117.544,8.03,2.53,ml,55,38,0.05393,0.16,ci,ci38613871,2021-08-31T20:07:40.150Z,"13km ENE of Ridgecrest, CA",earthquake,0.14,0.28,0.172,22,reviewed,ci,ci
2019-07-20T22:26:51.410Z,35.6813333,-117.5501667,8.24,2.72,ml,53,36,0.04463,0.15,ci,ci38613343,2021-08-31T19:13:16.060Z,"13km ENE of Ridgecrest, CA",earthquake,0.14,0.28,0.228,21,reviewed,ci,ci
2019-07-20T21:44:40.890Z,35.766,-117.5876667,5.66,3.31,ml,65,37,0.01077,0.14,ci,ci38613175,2021-10-06T22:48:27.330Z,"17km W of Searles Valley, CA",earthquake,0.11,0.25,0.177,125,reviewed,ci,ci
2019-07-20T21:12:16.530Z,35.6026667,-117.4066667,7.37,3.08,ml,80,23,0.02089,0.15,ci,ci38613055,2021-08-27T20:06:39.170Z,"18km S of Trona, CA",earthquake,0.11,0.22,0.131,249,reviewed,ci,ci
2019-07-20T13:43:46.150Z,35.6751667,-117.4648333,9.26,2.66,ml,52,69,0.03498,0.16,ci,ci38610879,2021-08-31T19:30:08.446Z,"12km SSW of Searles Valley, CA",earthquake,0.15,0.27,0.19,23,reviewed,ci,ci
2019-07-20T10:48:19.810Z,35.6711667,-117.484,1.72,2.53,ml,46,37,0.04949,0.14,ci,ci38610031,2021-08-31T20:34:56.820Z,"13km SW of Searles Valley, CA",earthquake,0.11,0.17,0.107,19,reviewed,ci,ci
2019-07-20T08:03:12.680Z,35.6871667,-117.5281667,7.55,2.84,ml,55,42,0.05003,0.14,ci,ci38609239,2021-08-31T19:07:11.090Z,"14km SW of Searles Valley, CA",earthquake,0.12,0.31,0.149,23,reviewed,ci,ci
2019-07-19T23:33:45.390Z,35.6511667,-117.491,8.82,3.47,ml,62,35,0.05145,0.15,ci,ci38606951,2021-10-06T22:41:19.780Z,"15km SSW of Searles Valley, CA",earthquake,0.12,0.27,0.153,267,reviewed,ci,ci
2019-07-19T23:24:11.470Z,35.5426667,-117.4275,2.95,2.96,ml,54,62,0.05209,0.14,ci,ci37481597,2021-09-30T18:54:15.450Z,"24km ESE of Ridgecrest, CA",earthquake,0.13,0.22,0.14,20,reviewed,ci,ci
2019-07-19T17:11:33.560Z,35.3783333,-117.8268333,3.59,2.57,ml,67,27,0.1117,0.15,ci,ci38605263,2021-09-30T21:33:03.540Z,"17km W of Johannesburg, CA",earthquake,0.12,0.48,0.18,29,reviewed,ci,ci
2019-07-19T16:16:58.420Z,35.7151667,-117.4948333,4.62,3.51,mlr,80,22,0.06313,0.15,ci,ci38605023,2021-10-05T20:30:21.610Z,"10km SW of Searles Valley, CA",earthquake,0.09,0.22,0.136,153,reviewed,ci,ci
2019-07-19T12:58:58.270Z,35.6236667,-117.5748333,7.94,3.23,ml,65,25,0.004937,0.15,ci,ci38603871,2021-10-06T22:02:45.120Z,"9km E of Ridgecrest, CA",earthquake,0.1,0.25,0.157,199,reviewed,ci,ci
2019-07-19T12:03:18.790Z,35.6561667,-117.4498333,7.05,2.6,ml,63,39,0.0231,0.14,ci,ci38603639,2021-09-30T20:23:08.250Z,"13km SSW of Searles Valley, CA",earthquake,0.1,0.21,0.219,25,reviewed,ci,ci
2019-07-19T10:47:05.410Z,35.585,-117.3576667,4.56,3.65,mw,84,24,0.05784,0.17,ci,ci38603223,2021-10-05T20:16:39.580Z,"20km S of Trona, CA",earthquake,0.12,0.26,,4,reviewed,ci,ci
2019-07-19T08:50:25.000Z,35.6453333,-117.4616667,3.18,2.68,ml,56,54,0.0367,0.13,ci,ci38602647,2021-09-30T20:04:54.440Z,"14km SSW of Searles Valley, CA",earthquake,0.1,0.17,0.133,25,reviewed,ci,ci
2019-07-19T00:01:10.330Z,35.6496667,-117.466,2.25,3.16,ml,73,24,0.03776,0.13,ci,ci38599935,2021-10-06T22:01:25.520Z,"14km SSW of Searles Valley, CA",earthquake,0.08,0.13,0.133,262,reviewed,ci,ci
2019-07-18T15:49:04.480Z,35.7053333,-117.521,9.7,2.64,ml,51,53,0.04479,0.13,ci,ci38597535,2021-09-30T21:27:56.390Z,"13km WSW of Searles Valley, CA",earthquake,0.12,0.26,0.195,25,reviewed,ci,ci
2019-07-18T14:20:58.670Z,35.6621667,-117.4821667,5.07,2.73,ml,51,35,0.01704,0.11,ci,ci38597047,2021-10-01T23:06:11.400Z,"14km SSW of Searles Valley, CA",earthquake,0.1,0.19,0.131,25,reviewed,ci,ci
2019-07-18T09:57:16.760Z,35.5611667,-117.3916667,2.76,2.59,ml,51,47,0.04238,0.18,ci,ci38595599,2021-09-30T19:17:30.370Z,"23km S of Trona, CA",earthquake,0.18,0.23,0.155,26,reviewed,ci,ci
2019-07-18T03:05:39.340Z,35.6301667,-117.4305,4.87,2.69,ml,50,56,0.03532,0.13,ci,ci38593255,2021-09-30T22:36:44.180Z,"15km S of Searles Valley, CA",earthquake,0.12,0.21,0.186,26,reviewed,ci,ci
2019-07-18T03:02:37.860Z,35.6161667,-117.4563333,10.3,3.24,ml,64,27,0.02999,0.13,ci,ci38593247,2021-10-05T20:18:50.170Z,"18km SSW of Searles Valley, CA",earthquake,0.1,0.16,0.163,110,reviewed,ci,ci
2019-07-18T02:36:31.350Z,35.6341667,-117.433,6.74,2.81,ml,53,37,0.03181,0.13,ci,ci38593111,2021-10-02T01:10:14.100Z,"15km S of Searles Valley, CA",earthquake,0.12,0.23,0.12,25,reviewed,ci,ci
2019-07-18T02:34:59.100Z,35.6198333,-117.4255,4.52,2.59,ml,50,53,0.04473,0.11,ci,ci38593095,2021-09-30T18:02:38.890Z,"16km S of Searles Valley, CA",earthquake,0.13,0.22,0.147,22,reviewed,ci,ci
2019-07-18T02:33:43.570Z,35.7526667,-117.5775,6.85,3.34,ml,65,40,0.03054,0.16,ci,ci38593087,2021-10-05T21:44:01.700Z,"16km W of Searles Valley, CA",earthquake,0.11,0.23,0.17,92,reviewed,ci,ci
2019-07-17T23:18:51.840Z,35.6418333,-117.4721667,6.42,2.52,ml,52,50,0.005742,0.14,ci,ci38592095,2021-09-02T21:29:12.020Z,"15km SSW of Searles Valley, CA",earthquake,0.13,0.24,0.212,64,reviewed,ci,ci
2019-07-17T22:01:35.670Z,35.6458333,-117.4476667,4.97,3.35,ml,63,39,0.02438,0.13,ci,ci38591663,2021-09-23T18:50:03.890Z,"14km SSW of Searles Valley, CA",earthquake,0.1,0.16,0.152,134,reviewed,ci,ci
2019-07-17T19:42:31.600Z,35.6525,-117.4608333,2.99,2.74,ml,22,46,0.01534,0.13,ci,ci37421845,2021-09-16T20:09:01.295Z,"14km SSW of Searles Valley, CA",earthquake,0.16,0.15,0.045,5,reviewed,ci,ci
2019-07-17T19:42:15.130Z,35.6498333,-117.461,2.69,3.61,mw,76,37,0.01419,0.16,ci,ci38590903,2022-06-16T17:46:34.612Z,"14km SSW of Searles Valley, CA",earthquake,0.1,0.14,,4,reviewed,ci,ci
2019-07-17T19:02:03.810Z,35.5873333,-117.4175,6.08,2.63,ml,48,39,0.03644,0.15,ci,ci38590679,2021-09-15T18:44:36.170Z,"20km S of Trona, CA",earthquake,0.14,0.36,0.162,25,reviewed,ci,ci
2019-07-17T15:07:26.200Z,35.7228333,-117.4888333,3.97,2.65,ml,19,65,0.06759,0.13,ci,ci37267324,2021-09-15T18:14:54.502Z,"9km WSW of Searles Valley, CA",earthquake,0.2,0.89,0.025,3,reviewed,ci,ci
2019-07-17T14:48:46.940Z,35.6825,-117.4725,5.87,3.08,ml,61,36,0.03715,0.13,ci,ci38589175,2021-09-23T18:01:04.770Z,"11km SSW of Searles Valley, CA",earthquake,0.1,0.26,0.146,82,reviewed,ci,ci
2019-07-17T12:11:09.950Z,35.6706667,-117.4151667,8.5,2.67,ml,53,51,0.008871,0.11,ci,ci38588111,2021-09-16T19:23:19.590Z,"11km S of Searles Valley, CA",earthquake,0.12,0.24,0.137,24,reviewed,ci,ci
2019-07-17T09:46:06.540Z,35.6478333,-117.4546667,2.65,2.57,ml,52,57,0.01882,0.14,ci,ci38587239,2021-09-14T20:53:16.400Z,"14km SSW of Searles Valley, CA",earthquake,0.12,0.16,0.141,25,reviewed,ci,ci
